Date,Open
2021-12-30,2929.0
2021-12-31,2910.879883
2022-01-03,2889.51001
2022-01-04,2911.01001
2022-01-05,2883.620117
2022-01-06,2749.949951
2022-01-07,2758.100098
2022-01-10,2701.97998
2022-01-11,2763.610107
2022-01-12,2831.090088
2022-01-13,2836.810059
2022-01-14,2750.0
2022-01-18,2732.0
2022-01-19,2738.77002
2022-01-20,2730.280029
2022-01-21,2660.23999
2022-01-24,2520.550049
2022-01-25,2568.709961
2022-01-26,2611.850098
2022-01-27,2627.219971
2022-01-28,2600.0
2022-01-31,2683.959961
2022-02-01,2756.699951
2022-02-02,3037.27002
2022-02-03,2905.899902
2022-02-04,2860.340088
2022-02-07,2874.179932
2022-02-08,2779.824951
2022-02-09,2816.995117
2022-02-10,2790.0
2022-02-11,2775.0
2022-02-14,2667.310059
2022-02-15,2749.429932
2022-02-16,2728.610107
2022-02-17,2723.0
2022-02-18,2660.75
2022-02-22,2599.699951
2022-02-23,2621.570068
2022-02-24,2500.0
2022-02-25,2670.51001
2022-02-28,2665.689941
2022-03-01,2689.600098
2022-03-02,2692.165039
2022-03-03,2719.570068
2022-03-04,2667.649902
2022-03-07,2638.080078
2022-03-08,2525.01001
2022-03-09,2628.0
2022-03-10,2629.25
2022-03-11,2679.98999
2022-03-14,2611.459961
2022-03-15,2554.830078
2022-03-16,2620.0
2022-03-17,2666.419922
2022-03-18,2677.679932
2022-03-21,2736.949951
2022-03-22,2730.0
2022-03-23,2782.77002
2022-03-24,2785.449951
2022-03-25,2835.080078
2022-03-28,2813.689941
2022-03-29,2863.209961
2022-03-30,2857.399902
2022-03-31,2848.969971
2022-04-01,2800.199951
2022-04-04,2816.48999
2022-04-05,2867.98999
2022-04-06,2783.22998
2022-04-07,2732.360107
2022-04-08,2725.0
2022-04-11,2658.0
2022-04-12,2648.469971
2022-04-13,2572.530029
2022-04-14,2612.98999
2022-04-18,2548.199951
2022-04-19,2561.540039
2022-04-20,2625.679932
2022-04-21,2587.0
2022-04-22,2500.0
2022-04-25,2388.590088
2022-04-26,2455.0
2022-04-27,2287.459961
2022-04-28,2342.300049
2022-04-29,2351.560059
2022-05-02,2278.129883
2022-05-03,2335.300049
2022-05-04,2360.070068
2022-05-05,2404.409912
2022-05-06,2310.379883
2022-05-09,2266.070068
2022-05-10,2320.810059
2022-05-11,2274.209961
2022-05-12,2238.76001
2022-05-13,2296.909912
2022-05-16,2307.679932
2022-05-17,2344.550049
2022-05-18,2304.75
2022-05-19,2236.820068
2022-05-20,2241.709961
2022-05-23,2202.080078
2022-05-24,2127.550049
2022-05-25,2102.840088
2022-05-26,2121.01001
2022-05-27,2195.77002
2022-05-31,2261.580078
2022-06-01,2298.629883
2022-06-02,2283.76001
2022-06-03,2319.850098
2022-06-06,2334.850098
2022-06-07,2312.959961
2022-06-08,2337.530029
2022-06-09,2326.830078
2022-06-10,2255.625
